occ1,occ10,occ100,occ101,occ102,occ103,occ104,occ105,occ106,occ107,occ108,occ109,occ11,occ110,occ111,occ112,occ113,occ114,occ115,occ116,occ117,occ118,occ119,occ12,occ120,occ121,occ122,occ123,occ124,occ125,occ126,occ127,occ128,occ129,occ13,occ130,occ131,occ132,occ133,occ134,occ135,occ136,occ137,occ138,occ139,occ14,occ140,occ141,occ142,occ143,occ144,occ145,occ146,occ147,occ148,occ149,occ15,occ150,occ151,occ152,occ153,occ154,occ155,occ156,occ157,occ158,occ159,occ16,occ160,occ161,occ162,occ163,occ164,occ165,occ166,occ167,occ168,occ169,occ17,occ170,occ171,occ172,occ173,occ174,occ175,occ176,occ177,occ178,occ179,occ18,occ180,occ181,occ182,occ183,occ184,occ185,occ186,occ187,occ188,occ189,occ19,occ190,occ191,occ192,occ193,occ194,occ195,occ196,occ197,occ198,occ199,occ2,occ20,occ200,occ201,occ202,occ203,occ204,occ205,occ206,occ207,occ208,occ209,occ21,occ210,occ211,occ212,occ213,occ214,occ215,occ216,occ217,occ218,occ219,occ22,occ220,occ221,occ222,occ223,occ224,occ225,occ226,occ227,occ228,occ229,occ23,occ230,occ231,occ232,occ233,occ234,occ235,occ236,occ237,occ238,occ239,occ24,occ240,occ241,occ242,occ243,occ244,occ245,occ246,occ247,occ248,occ249,occ25,occ250,occ251,occ252,occ253,occ254,occ255,occ256,occ257,occ258,occ259,occ26,occ260,occ261,occ262,occ263,occ264,occ265,occ266,occ267,occ268,occ269,occ27,occ270,occ271,occ272,occ273,occ274,occ275,occ276,occ277,occ278,occ279,occ28,occ280,occ281,occ282,occ283,occ284,occ285,occ286,occ287,occ288,occ289,occ29,occ290,occ291,occ292,occ293,occ294,occ295,occ296,occ297,occ298,occ299,occ3,occ30,occ300,occ301,occ302,occ303,occ304,occ305,occ306,occ307,occ308,occ309,occ31,occ310,occ311,occ312,occ313,occ314,occ315,occ316,occ317,occ318,occ319,occ32,occ320,occ321,occ322,occ323,occ324,occ325,occ326,occ327,occ328,occ329,occ33,occ330,occ331,occ332,occ333,occ334,occ335,occ336,occ337,occ338,occ339,occ34,occ340,occ341,occ342,occ343,occ344,occ345,occ346,occ347,occ348,occ349,occ35,occ350,occ351,occ352,occ353,occ354,occ355,occ356,occ357,occ358,occ359,occ36,occ360,occ361,occ362,occ363,occ364,occ365,occ366,occ367,occ368,occ369,occ37,occ370,occ371,occ372,occ373,occ374,occ375,occ376,occ377,occ378,occ379,occ38,occ380,occ381,occ382,occ383,occ384,occ385,occ386,occ387,occ388,occ389,occ39,occ390,occ391,occ392,occ393,occ394,occ395,occ396,occ397,occ398,occ399,occ4,occ40,occ400,occ401,occ402,occ403,occ404,occ41,occ42,occ43,occ44,occ45,occ46,occ47,occ48,occ49,occ5,occ50,occ51,occ52,occ53,occ54,occ55,occ56,occ57,occ58,occ59,occ6,occ60,occ61,occ62,occ63,occ64,occ65,occ66,occ67,occ68,occ69,occ7,occ70,occ71,occ72,occ73,occ74,occ75,occ76,occ77,occ78,occ79,occ8,occ80,occ81,occ82,occ83,occ84,occ85,occ86,occ87,occ88,occ89,occ9,occ90,occ91,occ92,occ93,occ94,occ95,occ96,occ97,occ98,occ99
14,15,15,15,14,13,13,13,17,14,17,14,19,16,17,14,15,16,20,20,19,14,17,15,10,16,12,15,15,14,11,14,17,18,12,15,13,15,15,10,12,14,15,10,10,14,12,5,9,10,0,16,24,12,15,12,16,14,14,17,13,18,16,15,17,12,12,14,16,13,10,14,12,9,14,19,14,16,12,16,19,13,16,16,16,19,17,14,12,10,16,17,14,13,14,13,14,12,18,19,17,15,11,15,18,14,14,16,12,26,13,13,16,15,8,15,12,13,18,13,16,17,16,12,15,17,14,15,13,16,14,14,21,14,15,15,16,17,15,12,11,14,15,16,14,14,7,12,13,17,16,13,15,18,14,14,15,17,18,15,19,16,19,13,16,17,14,16,18,14,15,17,14,17,16,13,18,13,12,13,13,11,16,17,14,17,18,16,15,19,17,13,16,24,13,18,12,16,17,18,18,13,14,14,12,15,22,16,13,12,14,14,13,17,14,15,14,13,14,21,14,16,14,15,13,12,12,12,14,12,14,15,12,15,12,13,18,13,13,16,17,13,14,12,13,18,14,19,17,14,18,15,15,14,12,16,16,16,13,14,21,19,17,14,16,16,14,17,14,13,14,15,11,14,16,14,16,18,14,17,16,15,14,11,14,12,15,12,13,15,9,15,11,18,12,9,12,14,11,14,15,13,11,16,17,14,13,17,13,14,12,17,15,15,14,16,10,13,16,17,14,18,21,19,15,12,17,18,14,15,14,14,16,10,14,10,14,14,13,15,17,14,20,14,14,13,16,16,16,12,18,15,12,14,14,14,14,19,16,16,16,14,16,15,15,8,13,17,24,21,13,11,14,16,11,15,19,18,14,13,14,12,17,15,16,13,16,15,15,16,11,14,16,17,15,17,14,14,17,16,16,16,14,12
16,15,17,16,16,18,19,17,19,16,17,16,18,17,16,19,18,15,17,17,20,17,19,15,18,17,15,15,16,17,15,18,19,20,14,17,17,17,17,19,23,19,18,19,19,18,15,17,18,18,16,0,24,20,19,18,16,18,17,14,18,20,16,16,18,15,15,17,18,17,17,15,15,18,17,19,19,18,17,15,16,15,16,16,17,20,21,17,15,18,17,17,17,15,17,16,15,17,18,17,20,14,18,17,17,14,14,15,16,24,15,15,16,15,16,11,16,19,18,15,19,16,19,17,17,18,19,17,17,18,18,18,19,18,16,17,15,16,19,16,17,17,19,18,19,17,18,17,17,16,19,16,17,19,16,17,15,15,20,16,17,16,20,15,16,19,16,17,19,16,18,18,17,19,15,18,19,15,17,18,17,14,17,17,17,16,19,16,18,18,19,16,17,22,16,18,16,16,18,20,18,18,18,18,17,15,20,15,16,18,16,18,17,17,18,17,17,16,15,21,16,17,17,18,17,17,17,17,18,17,15,18,18,15,18,17,18,15,14,16,16,18,16,17,15,20,17,16,16,16,21,18,19,16,14,17,16,18,14,17,23,19,15,17,16,17,18,18,11,19,15,17,17,17,16,16,19,17,18,14,15,16,15,15,15,15,15,17,12,12,18,18,17,16,17,18,19,17,17,17,16,19,17,15,18,18,18,17,15,16,13,13,19,19,17,16,18,16,15,17,17,19,20,17,17,19,18,17,17,18,18,17,17,18,18,18,16,19,17,16,18,14,21,18,15,15,15,16,17,14,17,17,18,18,16,17,16,17,15,19,20,16,16,17,17,17,16,18,23,23,13,18,18,13,16,18,19,21,18,16,18,14,18,18,18,17,16,16,17,17,18,19,16,17,17,18,16,19,19,18,17,19,17,16
22,21,22,23,22,21,22,24,24,23,24,22,21,22,22,24,20,23,22,22,23,22,24,22,20,22,24,23,23,20,23,22,23,23,23,22,22,24,22,25,22,21,23,24,24,23,23,24,24,24,24,24,0,23,21,24,21,24,19,25,23,23,25,25,22,24,24,23,24,22,23,22,24,21,22,23,24,21,24,20,23,24,21,21,25,22,24,24,23,25,25,26,22,21,22,22,24,23,22,26,24,23,23,23,23,20,23,20,22,26,19,21,24,23,24,23,22,23,23,20,20,24,20,21,23,20,23,23,18,23,22,24,24,24,23,23,23,22,24,22,22,23,23,23,21,19,23,23,25,22,20,23,21,25,21,20,24,22,23,24,21,21,22,23,21,20,23,21,26,23,20,23,22,24,20,21,26,23,23,22,24,23,25,24,22,22,25,24,23,21,24,24,22,24,23,26,22,20,19,20,25,23,20,24,20,21,17,22,23,24,22,24,23,23,24,21,22,22,24,25,23,26,22,24,22,24,24,24,21,24,22,23,22,22,21,18,18,21,23,25,20,24,21,22,22,23,22,19,24,22,24,20,24,22,22,24,21,23,23,22,23,24,20,24,24,22,20,23,21,23,25,22,22,22,24,21,23,22,20,24,22,23,22,24,23,24,21,22,21,25,23,22,19,23,22,23,23,21,18,23,21,24,23,20,24,24,23,20,21,23,25,24,23,23,21,21,23,24,23,24,23,21,23,23,23,23,23,25,24,21,23,22,24,22,23,23,24,22,23,24,25,22,25,24,23,24,20,25,23,23,22,23,24,20,25,22,24,22,20,23,22,23,22,23,22,22,22,19,25,23,22,24,21,25,22,23,24,20,23,24,23,23,20,20,23,22,24,22,24,22,23,22,19,25,22,22,23,24,22,23,24,22,22,23
21,19,21,18,19,16,17,21,14,19,22,19,20,17,19,18,21,20,21,22,20,18,14,16,13,20,19,19,19,17,21,20,18,21,21,21,20,20,21,12,9,17,16,7,4,20,19,12,9,14,12,20,23,0,16,18,19,16,20,21,17,22,19,21,20,19,19,19,20,19,15,20,18,15,21,21,19,20,21,20,22,19,19,19,20,17,19,20,20,13,20,20,15,17,15,18,20,17,21,21,20,19,17,21,17,17,20,20,19,24,16,17,17,17,13,20,15,18,18,17,19,19,19,16,20,21,20,20,19,19,19,19,23,19,20,22,20,21,20,19,17,18,19,22,17,18,16,17,19,20,20,19,20,20,20,18,21,17,21,20,21,19,17,18,19,22,21,20,21,21,20,22,20,21,20,18,20,18,16,20,20,20,19,21,15,20,22,21,18,18,20,20,19,24,20,22,18,20,18,22,19,17,18,20,18,22,22,20,19,18,20,21,19,17,17,20,19,18,20,22,20,20,15,19,19,19,19,19,20,19,20,20,18,20,19,19,21,17,19,19,21,18,18,16,18,20,18,20,20,20,18,21,21,20,21,19,19,19,19,15,19,21,19,21,21,18,18,21,19,14,21,20,15,15,21,18,20,21,18,22,20,19,20,19,21,19,21,16,20,20,15,21,18,20,16,15,19,19,17,19,19,18,17,21,19,19,21,21,18,18,21,20,20,20,21,23,13,18,20,19,19,22,23,22,21,11,19,21,19,20,17,20,19,16,18,16,20,20,19,20,21,19,21,20,20,19,20,20,20,21,19,20,17,18,21,15,19,17,20,21,20,19,20,19,21,14,17,18,26,19,18,18,15,20,18,19,21,18,20,19,19,21,20,22,20,19,21,20,20,19,11,12,18,19,21,20,20,10,23,22,19,20,15,20
19,18,19,18,18,17,19,19,16,17,21,19,19,17,18,19,19,19,20,21,20,18,16,16,14,17,18,17,18,18,19,19,20,21,19,19,19,19,19,15,18,6,14,15,15,19,17,16,16,16,15,19,21,16,0,18,20,14,19,20,18,21,21,20,20,20,19,17,18,18,16,19,19,15,19,19,19,21,18,19,19,18,20,20,21,19,19,18,18,17,21,21,14,16,14,17,20,18,20,21,20,20,17,19,16,15,19,19,16,23,14,16,16,19,16,18,15,19,18,15,18,19,18,15,18,19,20,20,16,18,19,16,20,16,18,18,19,21,19,18,14,17,20,19,20,16,17,18,18,20,20,19,20,22,18,15,19,18,21,19,22,20,18,17,20,21,19,19,20,18,18,19,18,22,19,16,20,18,18,19,20,19,19,19,14,19,20,20,19,17,21,19,19,25,18,20,17,19,16,20,20,17,16,19,19,18,20,20,17,17,18,20,17,17,13,18,19,15,19,22,19,20,14,20,17,19,19,19,17,19,20,20,16,18,18,16,18,16,19,21,19,17,15,14,19,20,16,18,20,20,21,19,20,18,19,20,20,19,18,14,20,21,18,20,20,18,19,20,18,16,20,18,16,14,20,16,18,19,19,19,19,18,19,17,20,18,19,14,18,20,15,19,18,19,14,15,19,18,17,18,18,19,19,18,16,19,20,18,17,17,19,21,17,17,17,20,14,19,19,18,17,20,21,20,19,15,19,20,17,19,18,18,20,14,20,17,18,18,20,20,21,17,21,19,18,18,19,19,19,19,18,19,17,19,20,14,19,18,19,20,19,18,18,19,19,16,17,16,22,20,17,17,16,20,16,19,20,14,18,18,18,19,19,19,19,16,20,18,21,17,16,19,17,20,19,20,19,17,21,19,20,20,14,17
17,17,19,18,19,17,16,19,18,18,20,19,20,18,18,19,18,19,16,16,16,17,18,19,16,17,17,19,18,18,17,19,16,20,13,19,18,19,19,16,19,18,19,16,16,18,17,15,16,17,12,18,24,18,18,0,20,19,13,20,17,20,19,19,21,17,17,19,18,17,15,18,18,15,16,21,19,20,15,20,20,18,20,20,18,20,19,19,17,15,18,19,17,17,17,17,18,17,19,21,20,18,17,20,20,18,18,20,17,26,17,17,20,16,14,19,16,17,20,17,15,17,15,17,20,20,17,20,16,19,18,16,23,16,19,14,19,19,17,17,17,17,19,19,18,17,11,17,19,18,13,17,19,21,17,17,14,19,21,16,21,20,20,19,20,20,19,19,20,17,16,19,15,20,20,16,19,18,17,17,15,16,19,19,17,19,19,18,18,19,18,19,18,24,18,19,18,19,19,19,18,19,17,19,17,16,23,18,18,14,17,18,15,16,18,15,18,17,18,21,18,15,17,19,16,17,17,17,17,17,17,20,15,18,15,16,19,17,16,19,19,17,17,17,16,20,17,17,19,19,21,18,19,14,13,17,20,18,18,17,22,21,20,17,18,19,17,20,17,17,16,19,17,17,19,18,19,21,17,19,19,18,18,16,16,17,17,17,15,17,15,19,17,19,17,15,17,17,17,18,18,14,17,17,19,18,19,17,15,18,16,19,18,18,19,19,16,17,19,19,19,20,22,20,19,15,20,20,16,13,17,15,17,17,16,15,20,15,19,19,18,18,20,19,17,18,20,19,19,13,20,19,16,17,19,17,18,19,20,18,19,17,19,16,19,15,18,19,22,22,18,16,17,18,18,18,21,20,18,18,18,13,19,18,17,16,18,17,18,19,17,14,19,19,19,19,18,16,16,19,17,19,17,17
15,14,15,16,15,16,18,15,20,16,14,14,18,18,17,17,14,16,19,19,19,15,20,18,17,15,16,16,17,17,15,17,17,16,17,15,12,16,14,19,23,17,17,17,18,16,16,18,19,16,16,16,21,19,20,20,0,16,17,16,15,19,15,14,15,14,15,15,18,14,16,13,15,18,17,17,14,16,14,1,19,15,0,0,16,12,20,17,16,16,16,17,16,16,16,15,16,16,17,17,18,16,17,13,19,17,17,1,16,24,17,16,18,17,15,15,18,18,19,16,19,17,19,15,16,15,17,16,17,16,15,17,21,17,16,16,16,18,18,15,16,17,18,15,16,17,17,16,15,16,19,16,11,18,12,16,15,15,19,16,18,0,14,14,0,15,14,14,17,16,17,18,15,17,1,15,19,15,15,16,17,15,17,15,16,17,18,16,16,15,17,14,17,24,16,17,16,16,17,17,15,16,15,16,14,17,19,14,16,18,16,12,15,19,17,16,16,16,15,18,16,16,16,15,16,16,16,16,16,16,13,14,17,15,16,17,18,16,17,15,16,16,16,16,14,17,14,16,16,15,19,14,17,17,17,16,0,18,14,16,21,22,17,14,16,19,16,15,15,19,16,14,15,16,15,16,16,15,16,17,15,17,13,16,15,16,14,16,14,15,17,17,15,15,16,17,17,17,15,17,14,17,16,15,18,17,14,14,15,16,15,16,17,17,16,13,17,16,16,19,15,17,21,18,15,18,18,15,17,17,17,15,16,17,17,15,15,16,14,15,16,15,20,16,16,15,1,13,17,17,18,14,16,16,16,16,16,19,1,18,16,15,16,16,14,15,16,17,24,21,16,17,18,15,15,16,17,19,16,15,15,17,18,14,17,15,16,16,16,17,17,19,19,16,12,15,11,21,17,15,16,17,16,15
18,14,15,17,15,16,18,15,20,15,17,13,16,18,15,16,17,15,19,19,18,15,20,16,16,17,17,16,16,15,16,15,18,20,17,15,15,17,17,14,19,13,16,16,15,16,16,14,14,15,14,18,24,16,14,19,16,0,19,18,15,19,19,19,18,16,16,16,9,16,15,17,13,16,18,19,15,17,16,15,18,14,16,16,18,19,22,17,15,17,18,18,13,14,13,15,17,14,17,20,21,15,17,16,16,13,17,15,16,23,14,14,13,17,17,16,15,18,19,14,20,16,20,14,15,18,17,17,15,18,15,16,20,16,17,16,15,18,19,14,14,16,19,18,19,16,15,14,16,18,20,18,15,21,14,16,17,14,21,17,19,16,18,15,16,17,16,18,19,15,16,17,18,20,15,17,19,15,16,17,16,16,17,18,13,18,20,17,15,18,18,16,18,25,16,19,15,16,16,21,19,16,17,17,17,16,21,17,17,17,17,18,13,16,13,15,16,16,17,21,17,18,13,17,18,17,17,17,15,17,17,16,16,17,17,15,18,14,16,19,16,17,15,14,18,20,15,19,18,18,21,17,16,17,17,17,16,17,15,13,23,20,16,17,17,19,16,17,17,16,16,17,15,13,16,15,19,18,16,17,17,16,17,16,17,17,17,14,16,17,14,16,16,18,14,14,17,15,16,16,14,15,17,17,17,17,17,17,17,15,17,18,17,17,15,15,14,15,15,15,16,19,20,17,17,15,19,19,15,18,18,18,17,14,15,16,17,17,16,17,18,14,21,17,16,14,15,16,16,17,17,16,15,16,16,13,17,18,15,16,19,16,17,16,17,14,15,16,23,23,14,17,17,18,14,17,20,19,15,15,16,17,18,16,16,15,17,15,16,16,15,18,15,18,18,18,16,17,20,18,17,16,13,15
14,15,17,17,16,14,18,16,16,16,19,17,17,18,17,17,17,17,20,20,19,16,16,18,16,14,16,18,17,16,14,15,17,19,14,17,14,19,16,19,21,18,18,19,19,17,18,16,18,15,14,17,19,20,19,13,17,19,0,18,17,14,19,18,21,17,16,17,17,13,16,16,17,7,13,21,17,19,12,17,19,17,17,17,16,19,19,18,15,17,16,17,18,17,18,14,16,15,17,20,18,18,15,17,20,18,15,17,15,26,16,17,20,16,14,18,16,17,18,16,16,18,16,15,17,16,16,17,17,19,14,14,21,14,17,10,17,15,16,16,16,15,16,18,17,13,13,15,17,17,15,16,16,20,14,16,9,17,19,15,17,17,19,16,17,16,17,15,18,16,16,19,9,18,17,15,18,17,16,15,15,16,17,19,18,18,21,16,18,18,18,15,17,24,14,20,15,18,17,19,18,16,15,16,16,15,19,16,16,13,15,16,16,19,17,13,15,16,16,21,17,17,18,17,13,15,15,15,15,15,15,17,13,17,14,17,16,17,15,19,16,16,13,16,13,18,17,18,20,15,21,17,16,13,13,17,17,13,15,18,20,20,17,14,16,17,15,18,14,17,15,17,16,18,16,15,18,20,15,19,15,17,16,15,13,16,12,16,11,17,15,14,14,17,16,15,17,13,14,15,16,17,16,14,19,16,15,13,12,16,15,18,16,16,15,15,17,17,17,19,17,19,22,19,17,18,19,17,16,16,15,10,17,15,16,13,18,14,17,16,18,16,22,16,16,17,17,16,19,14,20,17,15,15,17,18,17,18,17,17,17,13,17,16,16,15,16,17,23,20,16,15,16,17,14,18,20,19,16,16,16,14,17,14,15,15,16,13,16,18,17,19,19,19,17,17,15,19,16,18,17,16,18,15
16,16,17,17,16,16,18,16,20,17,18,17,20,19,18,18,18,15,21,21,18,16,20,18,19,14,19,15,15,17,17,17,18,18,19,17,18,16,17,20,20,20,18,20,20,18,15,18,19,15,17,14,25,21,20,20,16,18,18,0,17,19,15,16,19,16,14,15,19,18,18,17,17,18,16,17,18,18,14,17,18,16,16,16,16,19,21,16,16,19,16,16,19,17,19,18,16,18,16,18,19,16,17,17,19,18,18,17,16,26,16,17,19,19,16,11,17,19,19,18,20,15,20,17,17,18,17,16,18,17,17,16,22,16,15,16,15,17,18,17,16,15,18,17,18,18,19,18,14,17,20,17,17,18,15,16,15,18,18,18,18,16,19,16,16,20,16,17,18,16,17,20,16,17,17,15,18,16,19,16,18,17,15,18,19,18,17,15,19,17,16,16,17,26,17,19,16,17,19,19,20,17,17,18,19,16,22,16,18,17,19,18,17,18,17,17,19,17,16,17,15,18,19,16,17,16,16,16,18,16,16,16,17,17,17,18,18,17,16,15,17,19,15,16,17,20,16,19,16,16,22,18,17,19,19,19,16,17,18,19,21,15,15,14,15,19,17,18,11,20,16,16,18,19,14,16,19,19,17,19,16,15,17,18,15,19,16,16,17,10,17,17,19,15,16,17,17,17,19,18,17,19,18,15,20,19,18,18,17,15,17,9,18,18,15,17,17,18,15,19,15,19,22,19,17,19,17,17,18,19,18,16,19,15,17,17,15,18,13,15,18,17,22,18,13,16,17,18,18,19,16,15,18,17,16,19,17,19,17,17,19,16,17,19,17,18,17,19,24,21,17,18,19,11,18,17,21,20,17,16,17,19,18,17,16,16,15,16,18,18,19,20,20,16,18,17,16,22,19,17,19,17,19,18
14,15,15,13,12,12,18,10,17,11,18,13,17,15,13,12,15,15,20,20,16,12,17,15,13,14,13,14,12,14,13,15,16,17,14,15,13,15,16,16,20,17,14,15,15,11,14,14,15,13,13,18,23,17,18,17,15,15,17,17,0,20,15,16,17,11,11,10,15,10,12,13,11,15,16,21,13,14,13,16,18,11,15,15,15,17,19,14,12,16,15,16,17,14,17,12,15,11,18,18,18,14,9,16,17,14,17,16,12,25,12,14,17,13,13,14,15,17,20,12,17,14,17,12,13,16,15,14,15,16,16,10,20,10,14,15,15,17,15,14,14,14,17,14,17,12,14,11,8,16,19,14,14,17,16,14,14,15,18,14,19,15,17,7,15,19,13,14,18,13,13,19,12,16,16,14,18,12,13,12,14,11,14,18,17,17,16,15,12,19,16,12,16,24,12,19,12,14,17,18,16,13,15,13,16,15,21,15,9,15,15,15,14,16,14,17,12,13,12,19,13,16,17,13,12,10,10,10,14,10,14,14,13,16,14,15,16,14,15,15,17,11,14,14,13,19,12,16,16,15,21,15,13,14,15,15,15,17,12,17,20,19,14,14,15,16,15,16,13,16,13,15,15,17,14,10,16,14,15,18,16,12,13,13,14,13,14,14,13,15,14,15,13,16,14,14,17,13,14,11,14,17,13,16,17,13,13,17,14,11,12,15,15,15,10,17,13,10,15,18,10,18,21,18,14,13,17,16,16,18,16,12,15,14,11,12,14,16,13,14,17,11,20,13,14,11,16,14,14,14,14,14,11,15,13,17,12,18,16,16,19,14,15,15,16,12,11,17,23,20,9,12,15,14,13,15,20,19,13,11,14,14,16,17,16,14,15,14,14,15,14,15,18,16,14,14,11,18,18,14,15,18,17,12
20,21,20,20,20,21,19,21,21,20,19,20,21,22,21,20,18,20,21,21,20,21,21,21,22,20,21,19,19,20,22,22,21,21,20,20,21,21,19,22,21,20,20,21,22,20,17,20,23,20,18,20,23,22,21,20,19,19,14,19,20,0,20,12,19,22,21,21,21,21,21,18,19,15,20,14,21,22,20,18,22,20,19,19,22,21,23,23,20,22,22,23,18,23,18,20,20,18,19,18,21,17,22,18,20,22,19,18,21,24,20,23,22,20,19,18,21,19,20,20,23,20,23,21,20,18,22,21,20,20,20,21,22,21,19,21,20,21,19,18,21,21,22,21,22,21,19,18,20,19,18,22,19,21,17,20,20,20,22,21,19,19,23,21,19,20,22,20,20,20,19,19,21,20,18,21,20,21,20,21,21,21,19,23,18,20,21,20,19,22,20,22,20,26,20,22,19,19,20,22,22,22,22,21,20,20,22,21,20,21,22,22,20,22,20,21,23,18,21,21,21,21,18,20,20,20,20,20,21,20,20,21,21,21,21,20,19,23,20,20,21,19,20,21,21,22,20,19,20,21,23,18,21,20,20,21,19,22,21,18,24,22,20,20,20,22,20,19,17,20,20,20,22,18,21,21,20,20,20,20,20,19,18,21,21,21,18,21,19,19,20,21,20,19,21,20,17,19,20,23,21,19,21,18,19,23,22,19,19,19,21,20,21,21,22,18,22,17,20,21,21,20,22,20,22,23,18,21,21,19,20,21,21,20,22,19,20,21,19,21,20,19,23,21,19,20,18,22,20,20,20,21,19,20,21,18,22,19,18,20,19,21,20,21,19,21,21,20,23,24,20,22,23,19,19,20,22,22,22,19,18,20,20,20,22,20,20,18,19,20,21,22,23,21,23,23,21,20,21,21,21,21,18,21
17,16,15,15,17,14,18,15,20,16,15,15,18,18,15,16,14,13,19,19,16,16,20,16,18,13,17,16,7,16,16,17,17,14,17,15,14,16,14,19,22,19,16,16,19,16,14,18,18,15,16,16,25,19,21,19,15,19,19,15,15,20,0,15,15,14,15,15,19,15,15,12,14,19,17,19,16,14,17,16,18,15,15,15,14,15,20,17,16,17,14,15,18,15,18,14,14,16,16,7,17,16,15,15,16,16,18,16,17,19,17,15,19,16,15,17,18,20,20,15,18,6,18,14,16,13,18,16,17,7,17,17,21,17,15,18,13,17,17,16,17,15,17,14,17,15,16,16,7,10,19,14,15,16,15,17,16,16,16,16,16,15,18,14,15,17,12,15,17,16,17,17,16,16,16,16,17,15,16,17,17,16,15,16,18,13,17,14,16,20,16,13,17,22,15,15,14,16,18,16,18,18,17,18,16,17,22,13,15,17,17,18,17,19,16,17,18,15,16,16,15,17,18,15,16,16,16,16,17,16,14,14,17,18,14,17,17,15,17,0,16,16,19,18,14,17,17,18,1,15,20,14,18,16,17,15,15,18,14,18,20,20,16,15,14,17,16,15,16,18,15,15,17,18,12,16,16,15,16,14,14,7,12,17,15,17,15,18,14,17,17,17,16,15,18,17,17,16,16,16,16,18,16,17,17,14,16,17,14,7,16,14,19,19,16,15,18,15,13,20,15,13,18,18,16,19,16,18,19,19,15,15,15,17,16,16,15,17,15,13,17,14,16,18,14,15,16,15,17,17,14,14,17,16,15,18,16,17,16,17,17,16,16,15,14,17,15,18,24,20,17,16,19,17,16,16,17,20,17,16,16,17,15,16,15,17,14,15,16,17,19,18,19,6,16,15,14,19,17,14,15,18,18,16
16,17,14,15,15,18,18,13,18,18,15,14,20,18,18,19,15,15,20,20,19,17,18,19,18,16,18,16,17,18,14,17,19,15,17,14,17,16,15,20,22,17,19,19,20,19,16,19,20,17,15,16,25,21,20,19,14,19,18,16,16,12,15,0,15,15,16,16,18,17,18,15,17,19,17,15,18,16,15,15,20,16,14,14,17,18,22,18,17,17,17,18,18,18,18,17,16,18,18,13,19,16,19,14,20,18,17,15,18,25,18,18,19,17,18,16,17,19,17,18,20,17,20,18,16,17,17,12,18,18,18,16,21,16,16,17,15,20,17,15,18,18,19,17,19,19,19,18,16,15,19,17,16,18,14,19,16,18,19,19,18,14,19,15,14,17,14,17,18,15,15,20,17,17,15,18,18,17,18,17,18,16,15,18,18,13,16,17,16,19,16,12,18,23,19,17,15,19,20,18,17,19,17,17,17,16,24,16,16,18,18,19,17,20,19,18,18,16,17,19,14,16,18,18,17,18,18,18,19,18,17,13,18,18,18,18,18,18,16,15,17,16,18,16,17,18,16,17,16,15,20,15,16,18,17,17,14,19,17,18,22,20,19,16,17,18,18,16,17,17,16,16,18,18,14,19,18,17,18,17,17,17,15,17,17,18,16,16,16,16,18,17,19,16,16,18,17,17,18,17,17,18,18,16,19,18,17,18,16,17,16,17,17,17,16,15,20,15,15,20,16,19,22,16,17,20,18,16,18,18,16,17,17,18,19,17,15,18,15,15,18,13,21,17,15,16,15,15,18,17,17,13,19,18,15,18,18,19,15,18,16,17,15,17,15,18,17,20,26,22,17,18,20,17,17,18,18,22,17,15,17,17,18,18,19,17,17,18,16,17,17,19,19,16,18,19,14,21,17,17,17,19,18,19
18,13,11,17,18,18,18,15,21,16,15,12,17,20,18,19,14,13,18,18,19,14,21,17,19,18,17,16,16,16,15,18,19,16,18,11,16,17,14,17,22,18,18,17,19,15,16,19,19,15,17,18,22,20,20,21,15,18,21,19,17,19,15,15,0,16,16,17,19,18,17,15,12,19,18,18,17,17,18,14,18,14,15,15,17,17,21,18,18,16,17,19,18,17,18,17,17,15,16,16,18,15,19,14,18,16,18,14,16,22,15,17,18,19,17,16,18,16,19,16,20,16,20,17,20,17,17,15,16,16,17,18,20,18,17,18,13,20,18,13,18,18,18,13,16,18,18,15,16,16,21,17,15,18,15,16,18,17,17,18,18,15,16,16,15,17,14,17,16,17,17,20,18,17,14,17,17,16,18,19,19,17,18,18,18,14,18,16,19,17,17,15,18,24,18,17,14,16,18,17,18,17,19,18,16,18,21,17,17,18,18,19,16,19,19,18,18,14,16,18,18,19,18,14,19,18,18,18,17,18,16,12,18,18,17,16,17,17,18,15,13,18,18,18,18,18,17,17,14,18,17,14,18,19,18,19,15,19,16,18,21,20,17,18,16,19,17,17,18,20,17,16,18,18,14,17,16,14,17,15,18,16,15,17,18,17,18,18,16,19,18,19,17,16,18,18,18,18,18,17,13,19,19,19,18,19,18,18,17,15,17,18,19,19,17,16,17,16,13,19,17,20,18,17,16,18,19,19,18,20,18,18,19,18,17,17,17,17,14,15,19,15,21,18,15,14,14,17,14,18,16,14,16,17,17,18,17,19,14,17,16,16,14,20,14,12,16,18,23,21,17,18,19,19,18,19,10,22,14,16,17,18,20,15,18,15,16,17,13,16,19,18,18,15,15,16,16,20,18,13,19,18,18,17
